No,StudentID,Student Full Name,Other Mark,Midterm Mark,Final Mark,Total Mark
1,23120001,Nguyễn Văn Minh,6.7,9.9,9.8,5.1
2,23120002,Trần Thị Hương,9.8,6.6,2.9,3.4
3,23120003,Lê Văn Tùng,5.6,1.5,1.5,1.7
4,23120004,Phạm Thị Mai,0.1,7.5,3.1,6.1
5,23120005,Hoàng Văn Đức,8.1,3.5,7.6,2.8
6,23120006,Đặng Thị Lan,0.9,9.9,1.2,0.6
7,23120007,Bùi Văn Long,8.9,2.9,6.2,4.7
8,23120008,Võ Thị Hà,6.8,9.9,8.9,4.3
9,23120009,Nguyễn Văn Tuấn,0.7,5.6,4.2,5.1
10,23120010,Trần Thị Ngọc,5,3.8,4.8,7.5
11,23120011,Lê Văn Hùng,0.4,3.6,5.9,6.6
12,23120012,Phạm Thị Lan,6.2,0.2,8.5,7.5
13,23120013,Hoàng Văn Tùng,3.2,3,3.4,7.7
14,23120014,Đặng Thị Hà,3.8,2.4,10,7.8
15,23120015,Bùi Văn Long,8,5.6,8.1,5.1
16,23120016,Võ Thị Lan,6.9,3.3,0.1,8.6
17,23120017,Nguyễn Văn Tuấn,9.5,3.7,3.9,3
18,23120018,Trần Thị Ngọc,0.4,6.3,6,3.3
19,23120019,Lê Văn Hùng,9.6,6.8,6.5,1.7
20,23120020,Phạm Thị Lan,3.2,3.3,6,1.2
21,23120021,Hoàng Văn Tùng,0.3,9.1,8.4,1.3
22,23120022,Đặng Thị Hà,9.7,7.1,7.6,4.4
23,23120023,Bùi Văn Long,4.4,6.2,8.8,0.3
24,23120024,Võ Thị Lan,4,2.2,2.2,1.3
25,23120025,Nguyễn Văn Tuấn,8.6,1.8,6.3,8.5
26,23120026,Trần Thị Ngọc,3.6,5.2,8.5,6.8
27,23120027,Lê Văn Hùng,4.6,2.3,1.3,1.7
28,23120028,Phạm Thị Lan,7.5,5.7,9.5,8
29,23120029,Hoàng Văn Tùng,1.8,3.5,6.6,9.3
30,23120030,Đặng Thị Hà,7,5.3,4.8,6.7
31,23120031,Bùi Văn Long,4.8,0.4,7.2,6.8
32,23120032,Võ Thị Lan,8.2,1.2,3.8,8
33,23120033,Nguyễn Văn Tuấn,3.4,9.3,4.6,6.6
34,23120034,Trần Thị Ngọc,5.4,0.7,9.4,5.6
35,23120035,Lê Văn Hùng,3.5,6.4,1.5,7.2
36,23120036,Phạm Thị Lan,6,6.8,6.4,8.2
37,23120037,Hoàng Văn Tùng,6.5,3,8.4,9.8
38,23120038,Đặng Thị Hà,5.7,4.5,4.3,2.9
39,23120039,Bùi Văn Long,9.3,1.8,9.8,3.5
40,23120040,Võ Thị Lan,2.1,3.6,9.5,8.5
41,23120041,Nguyễn Văn Tuấn,9.9,4.8,6.4,6.8
42,23120042,Trần Thị Ngọc,0.5,0.7,8.4,4.6
43,23120043,Lê Văn Hùng,7.8,1.7,6.6,7.6
44,23120044,Phạm Thị Lan,3.1,1,9.4,8.2
45,23120045,Hoàng Văn Tùng,6.8,5.3,4.5,8.4
46,23120046,Đặng Thị Hà,4.5,1.1,4.3,2
47,23120047,Bùi Văn Long,6.3,7.9,1.2,0.9
48,23120048,Võ Thị Lan,4.5,4.4,2.5,6.1
49,23120049,Nguyễn Văn Tuấn,3.8,9.2,3.9,9.7
50,23120050,Trần Thị Ngọc,0.7,3.9,1.1,7.2
