No,StudentID,Student Full Name,Other Mark,Midterm Mark,Final Mark,Total Mark
1,23120101,Nguyễn Văn An,6,0.5,9.9,3.7
2,23120102,Trần Thị Bình,7.8,7.3,9.7,6.3
3,23120103,Lê Văn Chiến,7.8,0.5,0.8,3.5
4,23120104,Phạm Thị Dung,3.4,5.8,3.2,2.7
5,23120105,Hoàng Văn Đạt,5.1,3.7,3.3,5.8
6,23120106,Đặng Thị Hạnh,5.9,1.9,0.4,0.4
7,23120107,Bùi Văn Hòa,8.3,5.9,2.1,6.2
8,23120108,Võ Thị Lan,5.1,6.9,8.9,5
9,23120109,Nguyễn Văn Khánh,0.7,8.9,3.7,3.3
10,23120110,Trần Thị Loan,4.5,5.1,0.3,6.9
11,23120111,Lê Văn Long,3.4,5.5,1.2,3.4
12,23120112,Phạm Thị Mai,4.3,1.9,5.4,0.8
13,23120113,Hoàng Văn Nam,4.7,6.9,8.1,6.2
14,23120114,Đặng Thị Ngọc,5.2,5.3,3.3,2.7
15,23120115,Bùi Văn Phú,6.1,6.3,7.4,6.7
16,23120116,Võ Thị Quỳnh,5.2,9.2,4,2.2
17,23120117,Nguyễn Văn Sơn,0.4,2.6,1.5,8.9
18,23120118,Trần Thị Thảo,0.1,0.7,8,7.6
19,23120119,Lê Văn Thắng,6.4,3.8,5.6,3.9
20,23120120,Phạm Thị Thanh,4.3,8,0.9,8.4
21,23120121,Hoàng Văn Tùng,1.2,7.3,2.3,9.7
22,23120122,Đặng Thị Xuân,2.3,1.5,3.8,1.1
23,23120123,Bùi Văn Toàn,5.1,1.2,9.7,4.7
24,23120124,Võ Thị Vân,3.4,1.6,7.9,0.1
25,23120125,Nguyễn Văn Bảo,1,1.4,4.5,2.6
26,23120126,Trần Thị Hương,8.9,4.2,6.1,5.6
27,23120127,Lê Văn Cường,6.8,3.7,1.4,7.4
28,23120128,Phạm Thị Hải,1.6,6.4,5.2,2.6
29,23120129,Hoàng Văn Hiếu,8.7,3.5,2.8,3.4
30,23120130,Đặng Thị Hồng,4.5,1.7,6.8,5.7
31,23120131,Bùi Văn Huy,9.5,5.7,7,2.2
32,23120132,Võ Thị Huệ,5,7.4,8,1.1
33,23120133,Nguyễn Văn Khoa,8,0,8.3,4
34,23120134,Trần Thị Lý,0.9,2.4,8.1,0.7
35,23120135,Lê Văn Lộc,7.6,5.1,8.3,5.6
36,23120136,Phạm Thị Nga,9.4,1.6,6.5,8.6
37,23120137,Hoàng Văn Nghĩa,4.1,3.4,1.6,2.4
38,23120138,Đặng Thị Nguyệt,8.5,5.7,8.8,9.8
39,23120139,Bùi Văn Nhật,4.6,0.2,8.3,8.4
40,23120140,Võ Thị Oanh,6,9.7,4.4,0.6
41,23120141,Nguyễn Văn Quang,4.7,2.2,8.2,8.2
42,23120142,Trần Thị Thúy,7.6,5.9,2.7,1.3
43,23120143,Lê Văn Quý,2.5,8.4,5,3.8
44,23120144,Phạm Thị Quyên,7.2,1.6,7.9,9.9
45,23120145,Hoàng Văn Sáng,3.6,7.2,7.4,4.1
46,23120146,Đặng Thị Sương,1,6.6,9.8,2.6
47,23120147,Bùi Văn Thiện,1.1,1.6,0.1,5.7
48,23120148,Võ Thị Thu,4.8,3.2,8.5,2.9
49,23120149,Nguyễn Văn Thịnh,3.7,7.2,6.6,7.7
50,23120150,Trần Thị Trang,9.5,1.6,6.2,6.7
