No,StudentID,Student Full Name,Other Mark,Midterm Mark,Final Mark,Total Mark
1,23120001,Nguyễn Văn Minh,4.0,6.7,0.0,3.2
2,23120002,Trần Thị Hương,9.4,0.8,8.6,7.5
3,23120003,Lê Văn Tùng,3.5,3.1,6.0,9.4
4,23120004,Phạm Thị Mai,9.6,8.5,6.0,2.5
5,23120005,Hoàng Văn Đức,2.6,0.3,1.5,1.1
6,23120006,Đặng Thị Lan,2.9,5.0,4.5,3.0
7,23120007,Bùi Văn Long,0.3,3.8,6.5,0.5
8,23120008,Võ Thị Hà,6.3,5.7,2.4,0.2
9,23120009,Nguyễn Văn Tuấn,3.3,0.2,9.9,4.4
10,23120010,Trần Thị Ngọc,3.9,8.5,5.8,3.3
11,23120011,Lê Văn Hùng,8.4,8.6,2.2,8.5
12,23120012,Phạm Thị Lan,0.3,0.2,1.7,3.0
13,23120013,Hoàng Văn Tùng,2.2,1.3,2.9,8.6
14,23120014,Đặng Thị Hà,6.9,8.6,0.1,4.4
15,23120015,Bùi Văn Long,6.0,9.9,4.1,6.6
16,23120016,Võ Thị Lan,2.8,7.6,4.6,0.5
17,23120017,Nguyễn Văn Tuấn,4.9,5.7,7.3,7.0
18,23120018,Trần Thị Ngọc,9.4,5.0,4.1,9.8
19,23120019,Lê Văn Hùng,4.2,7.1,0.9,5.1
20,23120020,Phạm Thị Lan,0.8,5.6,4.0,3.2
21,23120021,Hoàng Văn Tùng,5.6,6.9,3.6,4.8
22,23120022,Đặng Thị Hà,2.9,0.8,9.6,4.6
23,23120023,Bùi Văn Long,7.8,1.7,4.1,1.3
24,23120024,Võ Thị Lan,6.4,9.4,9.4,3.5
25,23120025,Nguyễn Văn Tuấn,3.6,0.9,0.5,6.4
26,23120076,Trần Quốc Bảo,1.5,9.9,7.1,1.3
27,23120077,Lê Minh Châu,2.3,3.8,1.7,4.5
28,23120078,Phạm Thuý Linh,9.3,0.5,4.3,8.0
29,23120079,Hoàng Văn Nghĩa,5.1,9.6,6.7,4.3
30,23120080,Đặng Ngọc Thủy,8.3,9.3,5.2,8.2
31,23120081,Bùi Anh Tuấn,4.6,0.0,7.8,8.6
32,23120082,Võ Thuỳ Minh,9.3,5.3,3.3,6.6
33,23120083,Nguyễn Thanh Tùng,3.3,7.1,6.8,0.4
34,23120084,Trần Quốc Đạt,4.7,5.8,6.6,5.1
35,23120085,Lê Minh Hùng,1.6,3.0,3.0,2.7
36,23120086,Phạm Thu Hà,0.4,0.7,6.9,2.3
37,23120087,Hoàng Văn Phong,5.1,7.6,6.4,5.7
38,23120088,Đặng Ngọc Lan,4.1,4.5,0.3,8.8
39,23120089,Bùi Anh Quốc,7.9,5.6,6.4,2.1
40,23120090,Võ Thuỳ Vy,5.3,1.6,3.4,3.4
41,23120091,Nguyễn Thanh Hoa,5.7,7.2,2.7,4.8
42,23120092,Trần Quốc Anh,6.4,1.0,2.7,0.1
43,23120093,Lê Minh Trung,1.9,8.7,4.7,6.0
44,23120094,Phạm Thuỳ Dung,7.0,1.6,5.2,3.0
45,23120095,Hoàng Văn Nam,2.9,8.7,6.5,8.8
46,23120096,Đặng Ngọc Ngân,0.6,2.4,6.6,8.3
47,23120097,Bùi Anh Sơn,1.0,4.1,5.2,5.9
48,23120098,Võ Thuỳ Trang,1.5,1.0,0.6,0.8
49,23120099,Nguyễn Thanh Hưng,4.9,1.0,9.3,1.2
50,23120100,Trần Quốc Khánh,3.7,0.4,9.5,9.5
