No,StudentID,Student Full Name,Other Mark,Midterm Mark,Final Mark,Total Mark
1,23120101,Nguyễn Văn An,5.2,7.8,5.1,5.5
2,23120102,Trần Thị Bình,7.1,0.3,8.7,9.4
3,23120103,Lê Văn Chiến,8.0,1.0,3.5,0.7
4,23120104,Phạm Thị Dung,2.7,7.4,4.4,3.2
5,23120105,Hoàng Văn Đạt,1.8,2.8,5.4,4.3
6,23120106,Đặng Thị Hạnh,1.0,5.2,1.0,7.4
7,23120107,Bùi Văn Hòa,4.8,6.7,4.3,5.1
8,23120108,Võ Thị Lan,0.3,2.4,4.9,5.9
9,23120109,Nguyễn Văn Khánh,5.2,3.4,1.6,4.3
10,23120110,Trần Thị Loan,5.3,5.8,3.5,0.3
11,23120111,Lê Văn Long,4.0,7.0,4.6,0.1
12,23120112,Phạm Thị Mai,7.7,2.1,1.9,0.6
13,23120113,Hoàng Văn Nam,4.8,9.5,4.1,5.3
14,23120114,Đặng Thị Ngọc,4.6,6.3,7.4,9.9
15,23120115,Bùi Văn Phú,2.6,1.9,7.7,9.6
16,23120116,Võ Thị Quỳnh,9.3,0.0,1.8,3.3
17,23120117,Nguyễn Văn Sơn,2.9,8.9,3.6,6.0
18,23120118,Trần Thị Thảo,2.8,9.0,2.0,2.2
19,23120119,Lê Văn Thắng,8.6,6.8,7.8,0.7
20,23120120,Phạm Thị Thanh,8.3,2.5,0.6,5.7
21,23120121,Hoàng Văn Tùng,8.9,2.5,1.7,2.9
22,23120122,Đặng Thị Xuân,1.8,1.2,7.9,4.1
23,23120123,Bùi Văn Toàn,9.8,3.9,5.0,4.4
24,23120124,Võ Thị Vân,1.6,0.9,0.6,2.2
25,23120125,Nguyễn Văn Bảo,2.8,9.2,5.5,4.5
26,23120026,Trần Thị Ngọc,8.3,4.4,0.3,7.5
27,23120027,Lê Văn Hùng,7.3,2.3,1.2,3.4
28,23120028,Phạm Thị Lan,2.4,3.0,0.5,6.9
29,23120029,Hoàng Văn Tùng,5.0,7.9,3.4,1.1
30,23120030,Đặng Thị Hà,6.3,6.8,3.1,8.4
31,23120031,Bùi Văn Long,7.6,2.2,8.3,6.3
32,23120032,Võ Thị Lan,2.7,1.1,0.3,9.9
33,23120033,Nguyễn Văn Tuấn,2.5,7.2,2.8,1.9
34,23120034,Trần Thị Ngọc,4.4,7.4,1.8,1.9
35,23120035,Lê Văn Hùng,3.8,8.8,4.1,5.4
36,23120036,Phạm Thị Lan,6.2,8.8,5.4,9.7
37,23120037,Hoàng Văn Tùng,5.7,1.1,7.0,3.7
38,23120038,Đặng Thị Hà,9.2,3.5,9.6,4.8
39,23120039,Bùi Văn Long,4.0,5.2,4.2,8.8
40,23120040,Võ Thị Lan,1.2,8.1,9.8,6.0
41,23120041,Nguyễn Văn Tuấn,5.8,5.3,5.1,0.4
42,23120042,Trần Thị Ngọc,7.2,5.8,7.7,0.8
43,23120043,Lê Văn Hùng,1.4,3.6,2.8,2.0
44,23120044,Phạm Thị Lan,9.6,9.9,3.1,7.9
45,23120045,Hoàng Văn Tùng,2.7,8.4,7.9,3.7
46,23120046,Đặng Thị Hà,0.9,3.1,0.0,5.4
47,23120047,Bùi Văn Long,9.4,8.5,9.1,5.3
48,23120048,Võ Thị Lan,0.1,7.5,4.5,9.5
49,23120049,Nguyễn Văn Tuấn,5.7,2.2,5.5,6.5
50,23120050,Trần Thị Ngọc,9.1,3.1,8.7,5.9
