STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120101,Nguyễn,Văn An,Nam,12/01/2005,123456789012
2,23120102,Trần,Thị Bình,Nữ,13/01/2005,234567890123
3,23120103,Lê,Văn Chiến,Nam,14/01/2005,345678901234
4,23120104,Phạm,Thị Dung,Nữ,15/01/2005,456789012345
5,23120105,Hoàng,Văn Đạt,Nam,16/01/2005,567890123456
6,23120106,Đặng,Thị Hạnh,Nữ,17/01/2005,678901234567
7,23120107,Bùi,Văn Hòa,Nam,18/01/2005,789012345678
8,23120108,Võ,Thị Lan,Nữ,19/01/2005,890123456789
9,23120109,Nguyễn,Văn Khánh,Nam,20/01/2005,901234567890
10,23120110,Trần,Thị Loan,Nữ,21/01/2005,012345678901
11,23120111,Lê,Văn Long,Nam,22/01/2005,123456789012
12,23120112,Phạm,Thị Mai,Nữ,23/01/2005,234567890123
13,23120113,Hoàng,Văn Nam,Nam,24/01/2005,345678901234
14,23120114,Đặng,Thị Ngọc,Nữ,25/01/2005,456789012345
15,23120115,Bùi,Văn Phú,Nam,26/01/2005,567890123456
16,23120116,Võ,Thị Quỳnh,Nữ,27/01/2005,678901234567
17,23120117,Nguyễn,Văn Sơn,Nam,28/01/2005,789012345678
18,23120118,Trần,Thị Thảo,Nữ,29/01/2005,890123456789
19,23120119,Lê,Văn Thắng,Nam,30/01/2005,901234567890
20,23120120,Phạm,Thị Thanh,Nữ,31/01/2005,012345678901
21,23120121,Hoàng,Văn Tùng,Nam,01/02/2005,123456789012
22,23120122,Đặng,Thị Xuân,Nữ,02/02/2005,234567890123
23,23120123,Bùi,Văn Toàn,Nam,03/02/2005,345678901234
24,23120124,Võ,Thị Vân,Nữ,04/02/2005,456789012345
25,23120125,Nguyễn,Văn Bảo,Nam,05/02/2005,567890123456
26,23120026,Trần,Thị Ngọc,Nữ,01/04/2005,678901234567
27,23120027,Lê,Văn Hùng,Nam,07/07/2005,789012345678
28,23120028,Phạm,Thị Lan,Nữ,09/09/2005,890123456789
29,23120029,Hoàng,Văn Tùng,Nam,14/12/2005,901234567890
30,23120030,Đặng,Thị Hà,Nữ,20/03/2005,012345678901
31,23120031,Bùi,Văn Long,Nam,24/05/2005,123456789012
32,23120032,Võ,Thị Lan,Nữ,29/08/2005,234567890123
33,23120033,Nguyễn,Văn Tuấn,Nam,01/11/2005,345678901234
34,23120034,Trần,Thị Ngọc,Nữ,06/02/2005,456789012345
35,23120035,Lê,Văn Hùng,Nam,10/04/2005,567890123456
36,23120036,Phạm,Thị Lan,Nữ,16/07/2005,678901234567
37,23120037,Hoàng,Văn Tùng,Nam,19/09/2005,789012345678
38,23120038,Đặng,Thị Hà,Nữ,25/12/2005,890123456789
39,23120039,Bùi,Văn Long,Nam,02/03/2005,901234567890
40,23120040,Võ,Thị Lan,Nữ,08/06/2005,012345678901
41,23120041,Nguyễn,Văn Tuấn,Nam,12/08/2005,123456789012
42,23120042,Trần,Thị Ngọc,Nữ,16/11/2005,234567890123
43,23120043,Lê,Văn Hùng,Nam,21/02/2005,345678901234
44,23120044,Phạm,Thị Lan,Nữ,27/05/2005,456789012345
45,23120045,Hoàng,Văn Tùng,Nam,30/07/2005,567890123456
46,23120046,Đặng,Thị Hà,Nữ,04/10/2005,678901234567
47,23120047,Bùi,Văn Long,Nam,09/01/2005,789012345678
48,23120048,Võ,Thị Lan,Nữ,15/04/2005,890123456789
49,23120049,Nguyễn,Văn Tuấn,Nam,18/06/2005,901234567890
50,23120050,Trần,Thị Ngọc,Nữ,23/09/2005,012345678901
