No,Student ID,Last Name,First Name,Gender,Date of Birth,Social ID,Academic Year
1,22000655,Chu Luan,Thanh,Male,18/09/2004,5.00725E+11,2022
2,22000607,Chu Linh,Kieu,Female,8/11/2004,5.68856E+12,2022
3,22000483,Tran Hoang,Hoang,Male,1/11/2004,6.74422E+12,2022
4,22000536,Tri Hoa,Nga,Female,8/8/2004,2.41631E+12,2022
5,22000750,Dinh Thanh,Lan,Female,18/12/2004,2.13325E+12,2022
6,22000734,Do Hoa,Lien,Female,22/12/2004,3.69591E+12,2022
7,22000815,Le Van,Chien,Male,21/04/2004,5.17847E+12,2022
8,22000497,Truong Kieu,Thuong,Female,23/06/2004,5.21009E+12,2022
9,22000516,Bui Tuyen,Thao,Female,17/07/2004,1.62783E+12,2022
10,22000559,Kieu Thinh,Trong,Male,13/03/2004,4.02425E+12,2022
11,22000649,Chau Thanh,Hong,Female,7/2/2004,6.00713E+11,2022
12,22000359,Lam Duc,Lam,Male,5/10/2004,1.13796E+12,2022
13,22000389,Do Thu,Vy,Female,25/08/2004,1.69849E+12,2022
14,22000573,Vo Thu,Dieu,Female,25/12/2004,4.71167E+12,2022
15,22000561,Vo Huu,Vinh,Male,6/3/2004,2.85782E+12,2022
16,22000517,Quach Thao,Lien,Female,16/04/2004,7.25737E+12,2022
17,22000769,Duong Cong,Long,Male,15/02/2004,6.73661E+12,2022
18,22000676,Tao Xuan,Phat,Male,14/07/2004,4.24609E+12,2022
19,22000587,Cao Huu,Trong,Male,22/07/2004,1.60452E+12,2022
20,22000827,Dieu Chau,Trinh,Female,11/10/2004,2.26799E+12,2022
21,22000420,Nghiem Phuong,Mong,Female,25/10/2004,4.02092E+12,2022
22,22000745,Ton Viet,Minh,Male,26/07/2004,8.48235E+12,2022
23,22000397,Dinh Tuyen,Thu,Female,22/09/2004,3.76086E+12,2022
24,22000693,Hua Phuong,Lien,Female,7/2/2004,2.64332E+11,2022
25,22000361,Pham Thanh,Phuong,Female,24/09/2004,7.54188E+12,2022
26,22000571,Truong Phuong,Giang,Female,9/3/2004,7.18992E+12,2022
27,22000735,Doan Khoa,Trong,Male,6/6/2004,7.67962E+12,2022
28,22000447,La Huu,Hung,Male,3/1/2004,2.69519E+12,2022
29,22000525,Trinh Duc,Trung,Male,18/08/2004,4.01313E+12,2022
30,22000486,Ton Hiep,Kien,Male,13/10/2004,3.63013E+11,2022
31,22000753,Kieu Bich,Dung,Female,27/05/2004,1.67189E+12,2022
32,22000503,Bach Chau,Lan,Female,8/4/2004,4.65154E+12,2022
33,22000692,Le Thuy,Lien,Female,28/05/2004,4.63015E+12,2022
34,22000591,Tu Hung,Tuan,Male,1/4/2004,8.24199E+12,2022
35,22000444,Linh Huong,Ngan,Female,6/3/2004,2.45678E+12,2022
36,22000379,La Manh,Nghia,Male,26/11/2004,9.52342E+12,2022
37,22000349,Le Huong,Giang,Female,3/4/2004,2.54218E+11,2022
38,22000572,Phung My,Ngan,Female,19/01/2004,4.78396E+12,2022
39,22000704,Trinh Quang,Thien,Male,23/01/2004,8.83786E+12,2022
40,22000595,Kieu Luan,Lam,Male,4/4/2004,3.87693E+12,2022
41,22000375,Mai Quoc,Toan,Male,9/5/2004,5.12725E+12,2022
42,22000839,Vu Viet,Hoang,Male,28/10/2004,9.76096E+12,2022
43,22000603,Le Tien,Duc,Male,9/5/2004,5.68294E+12,2022
44,22000634,Dieu Nhi,My,Female,1/5/2004,4.66145E+12,2022
45,22000577,Nguyen Ngoc,Mai,Female,5/8/2004,6.67759E+12,2022
46,22000441,Dinh Tuyen,Ha,Female,2/12/2004,6.92642E+11,2022
47,22000743,Bui Quyen,Thao,Female,26/05/2004,3.90797E+12,2022
48,22000345,Vo Hiep,Vinh,Male,11/7/2004,2.60682E+12,2022
49,22000590,Phan Lan,Yen,Female,28/06/2004,6.11198E+12,2022
50,22000650,Mai Kim,Thao,Female,24/07/2004,5.02377E+12,2022
