STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120051,Nguyễn,Quang Hùng,Nam,12/01/2005,135792468013
2,23120052,Trần,Ngọc Anh,Nữ,15/04/2005,246813579024
3,23120053,Lê,Minh Phương,Nam,18/07/2005,357924680135
4,23120054,Phạm,Thu Hà,Nữ,21/10/2005,468035791246
5,23120055,Hoàng,Văn Tuấn,Nam,23/02/2005,579146802357
6,23120056,Đặng,Ngọc Trâm,Nữ,28/05/2005,680257913468
7,23120057,Bùi,Anh Khoa,Nam,30/08/2005,791368024579
8,23120058,Võ,Thuỳ Linh,Nữ,05/11/2005,802479135680
9,23120059,Nguyễn,Thanh Hà,Nữ,09/03/2005,913590246791
10,23120060,Trần,Quốc Hưng,Nam,14/06/2005,024601357902
11,23120061,Lê,Minh Đức,Nam,18/09/2005,135712468013
12,23120062,Phạm,Thu Thảo,Nữ,22/12/2005,246823579024
13,23120063,Hoàng,Văn Hùng,Nam,26/02/2005,357934680135
14,23120064,Đặng,Ngọc Mai,Nữ,01/05/2005,468045791246
15,23120065,Bùi,Anh Tuấn,Nam,05/08/2005,579156802357
16,23120066,Võ,Thuỳ Dương,Nữ,09/11/2005,680267913468
17,23120067,Nguyễn,Thanh Tâm,Nữ,13/03/2005,791378024579
18,23120068,Trần,Quốc An,Nam,17/06/2005,802489135680
19,23120069,Lê,Minh Hải,Nam,21/09/2005,913590246791
20,23120070,Phạm,Thuý Vy,Nữ,25/12/2005,024601357902
21,23120071,Hoàng,Văn Phúc,Nam,29/02/2005,135712468013
22,23120072,Đặng,Ngọc Trân,Nữ,04/05/2005,246823579024
23,23120073,Bùi,Anh Huy,Nam,08/08/2005,357934680135
24,23120074,Võ,Thuỳ Nhi,Nữ,12/11/2005,468045791246
25,23120075,Nguyễn,Thanh Bình,Nam,16/03/2005,579156802357
26,23120076,Trần,Quốc Bảo,Nam,20/06/2005,680267913468
27,23120077,Lê,Minh Châu,Nữ,24/09/2005,791378024579
28,23120078,Phạm,Thuý Linh,Nữ,28/12/2005,802489135680
29,23120079,Hoàng,Văn Nghĩa,Nam,02/03/2005,913590246791
30,23120080,Đặng,Ngọc Thủy,Nữ,06/06/2005,024601357902
31,23120081,Bùi,Anh Tuấn,Nam,10/09/2005,135712468013
32,23120082,Võ,Thuỳ Minh,Nữ,14/12/2005,246823579024
33,23120083,Nguyễn,Thanh Tùng,Nam,18/02/2005,357934680135
34,23120084,Trần,Quốc Đạt,Nam,22/05/2005,468045791246
35,23120085,Lê,Minh Hùng,Nam,26/08/2005,579156802357
36,23120086,Phạm,Thu Hà,Nữ,30/11/2005,680267913468
37,23120087,Hoàng,Văn Phong,Nam,04/03/2005,791378024579
38,23120088,Đặng,Ngọc Lan,Nữ,08/06/2005,802489135680
39,23120089,Bùi,Anh Quốc,Nam,12/09/2005,913590246791
40,23120090,Võ,Thuỳ Vy,Nữ,16/12/2005,024601357902
41,23120091,Nguyễn,Thanh Hoa,Nữ,20/02/2005,135712468013
42,23120092,Trần,Quốc Anh,Nam,24/05/2005,246823579024
43,23120093,Lê,Minh Trung,Nam,28/08/2005,357934680135
44,23120094,Phạm,Thuỳ Dung,Nữ,02/11/2005,468045791246
45,23120095,Hoàng,Văn Nam,Nam,06/03/2005,579156802357
46,23120096,Đặng,Ngọc Ngân,Nữ,10/06/2005,680267913468
47,23120097,Bùi,Anh Sơn,Nam,14/09/2005,791378024579
48,23120098,Võ,Thuỳ Trang,Nữ,18/12/2005,802489135680
49,23120099,Nguyễn,Thanh Hưng,Nam,22/02/2005,913590246791
50,23120100,Trần,Quốc Khánh,Nam,26/05/2005,024601357902
