STT,MSSV,Họ đệm,Tên,Giới tính,Ngày sinh,CCCD
1,23120051,Nguyễn,Quang Hùng,Nam,12/01/2005,135792468013
2,23120052,Trần,Ngọc Anh,Nữ,15/04/2005,246813579024
3,23120053,Lê,Minh Phương,Nam,18/07/2005,357924680135
4,23120054,Phạm,Thu Hà,Nữ,21/10/2005,468035791246
5,23120055,Hoàng,Văn Tuấn,Nam,23/02/2005,579146802357
6,23120056,Đặng,Ngọc Trâm,Nữ,28/05/2005,680257913468
7,23120057,Bùi,Anh Khoa,Nam,30/08/2005,791368024579
8,23120058,Võ,Thuỳ Linh,Nữ,05/11/2005,802479135680
9,23120059,Nguyễn,Thanh Hà,Nữ,09/03/2005,913590246791
10,23120060,Trần,Quốc Hưng,Nam,14/06/2005,024601357902
11,23120061,Lê,Minh Đức,Nam,18/09/2005,135712468013
12,23120062,Phạm,Thu Thảo,Nữ,22/12/2005,246823579024
13,23120063,Hoàng,Văn Hùng,Nam,26/02/2005,357934680135
14,23120064,Đặng,Ngọc Mai,Nữ,01/05/2005,468045791246
15,23120065,Bùi,Anh Tuấn,Nam,05/08/2005,579156802357
16,23120066,Võ,Thuỳ Dương,Nữ,09/11/2005,680267913468
17,23120067,Nguyễn,Thanh Tâm,Nữ,13/03/2005,791378024579
18,23120068,Trần,Quốc An,Nam,17/06/2005,802489135680
19,23120069,Lê,Minh Hải,Nam,21/09/2005,913590246791
20,23120070,Phạm,Thuý Vy,Nữ,25/12/2005,024601357902
21,23120071,Hoàng,Văn Phúc,Nam,29/02/2005,135712468013
22,23120072,Đặng,Ngọc Trân,Nữ,04/05/2005,246823579024
23,23120073,Bùi,Anh Huy,Nam,08/08/2005,357934680135
24,23120074,Võ,Thuỳ Nhi,Nữ,12/11/2005,468045791246
25,23120075,Nguyễn,Thanh Bình,Nam,16/03/2005,579156802357
26,23120126,Trần,Thị Hương,Nữ,06/02/2005,678901234567
27,23120127,Lê,Văn Cường,Nam,07/02/2005,789012345678
28,23120128,Phạm,Thị Hải,Nữ,08/02/2005,890123456789
29,23120129,Hoàng,Văn Hiếu,Nam,09/02/2005,901234567890
30,23120130,Đặng,Thị Hồng,Nữ,10/02/2005,012345678901
31,23120131,Bùi,Văn Huy,Nam,11/02/2005,123456789012
32,23120132,Võ,Thị Huệ,Nữ,12/02/2005,234567890123
33,23120133,Nguyễn,Văn Khoa,Nam,13/02/2005,345678901234
34,23120134,Trần,Thị Lý,Nữ,14/02/2005,456789012345
35,23120135,Lê,Văn Lộc,Nam,15/02/2005,567890123456
36,23120136,Phạm,Thị Nga,Nữ,16/02/2005,678901234567
37,23120137,Hoàng,Văn Nghĩa,Nam,17/02/2005,789012345678
38,23120138,Đặng,Thị Nguyệt,Nữ,18/02/2005,890123456789
39,23120139,Bùi,Văn Nhật,Nam,19/02/2005,901234567890
40,23120140,Võ,Thị Oanh,Nữ,20/02/2005,012345678901
41,23120141,Nguyễn,Văn Quang,Nam,21/02/2005,123456789012
42,23120142,Trần,Thị Thúy,Nữ,22/02/2005,234567890123
43,23120143,Lê,Văn Quý,Nam,23/02/2005,345678901234
44,23120144,Phạm,Thị Quyên,Nữ,24/02/2005,456789012345
45,23120145,Hoàng,Văn Sáng,Nam,25/02/2005,567890123456
46,23120146,Đặng,Thị Sương,Nữ,26/02/2005,678901234567
47,23120147,Bùi,Văn Thiện,Nam,27/02/2005,789012345678
48,23120148,Võ,Thị Thu,Nữ,28/02/2005,890123456789
49,23120149,Nguyễn,Văn Thịnh,Nam,01/03/2005,901234567890
50,23120150,Trần,Thị Trang,Nữ,02/03/2005,012345678901
